Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
"Duplex House For Sale near Clark, Hamana Homes, Magalang, Pampanga","Santo Rosario, Magalang",3185421,3,2,54,90,15.2447956,120.6371342
"3 Bedroom House and Lot For Sale in Southdale Nuvali, Laguna, Preselling","Nuvali Blvd, 4026 Santa Rosa, Philippines Canlubang, Calamba",10762500,3,2,85,138,,
"For Sale Contemporary House in Dau, Mabalacat near Bus Terminal & Airport","Dau, Mabalacat",8300000,3,3,144,100,15.1760734,120.5887353
RFO 2 Storey Townhouse for sale in East Fairview near Commonwealth Quezon City,"East Fairview near Commonwealth Quezon City Fairview, Quezon City",6200000,3,3,100,30,,
"For Sale 4-Bedroom House in Bali Mansions South Forbes, Silang, Cavite","Inchican, Silang",35000000,4,5,368,277,14.2510549,121.0527366
"Pre-selling 3-Bedroom House for Sale in Filinvest II, Quezon City","Batasan Hills, Quezon City",14000000,3,3,170,121,14.6862585,121.099335
Cottonwood Heights Antipolo House & Lot For Sale in Rizal,"San Luis, Antipolo",16000000,2,2,100,200,14.6043281,121.1981422
"3-Bedroom Townhouse with Roof Deck for Sale at Project 8, Quezon City","Lot 2-A Benefits corner Dividend Street Project 8, Quezon City",12800000,3,3,165,52,,
For Sale Ready For Occupancy Affordable Townhouse in Quezon City,"Bagbag, Quezon City",5116623,3,2,68,50,14.6984863,121.0327857
"L-TH-1-196 - Acquired Property for Sale in, Lot 41, Block 8, Modena Street, Camella Bulakan Subdivision, Phase 1, Brgy. Matungao, Bulacan, Bulacan","Matungao, Bulacan",2182300,,,26.5,107,14.8030969,120.8804129
"3 Bedrooms, 2 Toilet and Bath House and Lot for Sale in Pulilan, Bulacan","Poblacion, Pulilan",15000000,3,2,250,484,14.902206,120.8487909
"For Sale: Brand New 5 Bedroom Modern House in Ayala Alabang Village, Muntinlupa","Ayala Alabang, Muntinlupa",420000000,5,6,1172,762,14.4226096,121.0269407
Refreshing New Townhouse near Banawe Area,"Lourdes, Quezon City",33000000,4,5,309,93,14.625804,121.0020456
OLD HOUSE & LOT POBLACION MAKATI FOR SALE near Makati Ave,"Poblacion, Makati",78000000,3,3,250,150,14.566261,121.0313853
"5 Bedroom House and Lot For Sale in Las Pinas Rotale Estate, Las Pinas",Las Pinas,19500000,5,4,386,251,14.4809012,120.9817861
"Brand New 4 Bedroom Townhouse For Sale in Sanville Subd., Quezon City","Culiat, Quezon City",24430000,4,4,350,110,14.6679617,121.0565912
"Siargao Beach Front Villas For Sale in General Luna, Surigao del Norte","Poblacion V, General Luna",250000000,4,3,200,3000,14.1333372,120.9041969
Townhouse for sale in EDSA Muñoz Congressional Avenue Quezon City SNR Project 8,"Congressional Avenue, Quezon City",11300000,3,3,120,60,14.6679427,121.0340442
"4-Bedroom House in Tuscania Garden Residences, Guadalupe, Cebu City for Sale","Guadalupe, Cebu",15000000,4,3,150,120,9.7340326,123.3656366
McKinley Hill Village 4BR House & Lot For Sale in Taguig near BGC,"McKinley Hill, Taguig",115000000,4,4,324,190,14.5330489,121.0524293
For Sale: Brand New Modern Luxury 5 BR Home with Pool in Ayala Alabang,"Ayala Alabang, Muntinlupa",250000000,5,5,700,747,14.4226096,121.0269407
"4 Bedroom House and Lot for Sale at Madonna Residences, San Fernando, Pampanga","Barangay Sindalan, San Fernando, Pampanga Sindalan, San Fernando",7650000,4,3,135,164,15.0771316,120.6482244
"House and Lot for sale at Ayala Alabang Village, Muntinlupa City","Ayala Alabang, Muntinlupa",188000000,4,4,800,688,14.4226096,121.0269407
"Billion Peso Mansion Estate for sale at Tivoli Royale, Quezon City","Batasan Hills, Quezon City",1200000000,5,7,1024,8000,14.6862585,121.099335
"House and Lot For Sale in Victoria Place Executive Village, Pasig City",Pasig,24000000,5,3,450,250,14.5605166,121.0764343
"Complete Turnover Townhouse for sale in Tanza, Cavite","Sanja Mayor, Tanza",,3,2,60,52,14.3750722,120.854151
"Bare type Townhouse for sale in San Fernando, Pampanga","Del Carmen, San Fernando",1873945,2,1,47,40,15.0487446,120.6882894
Ayala Alabang Brand New House for Sale,"Ayala Alabang, Muntinlupa",180000000,3,3,650,650,14.4226096,121.0269407
"4 Bedroom House and Lot for Sale in Almanza Dos, Las Piñas City","Almanza Dos, Las Pinas",7000000,4,2,150,163,14.4234362,121.0223422
House and Lot in Lipa,"F. Rodelas Rd. Barangay Bolbok Lipa City Bolbok, Lipa",2913000,3,2,60.5,50,,
"For Sale Brand New Colonial-Style House in Verdana Homes Mamplasan, Laguna","Langkiwa, Binan",,3,3,250,202,14.2989841,121.0597082
Brand New Modern 3-Storey House & Lot for Sale in Parañaque City,"Sun Valley, Paranaque",12000000,5,5,210,75,14.4888415,121.0325173
Ayala Alabang Muntinlupa House and lot for sale with pool,"Ayala Alabang, Muntinlupa",180000000,4,5,600,720,14.4226096,121.0269407
"5BR Brand New House and Lot for Sale in Mckinley Hill Village, Taguig City","McKinley Hill Dr, 1634 Taguig City, Philippines McKinley Hill, Taguig",198000000,5,6.5,642,288,,
"For Sale: 3-Storey House and Lot in Antipolo, Rizal [Near Robinsons Antipolo]","San Luis, Antipolo",19500000,5,5,,542,14.6043281,121.1981422
"Aldea Grove Estates 3 Bedroom House and Lot for Sale in Angeles, Pampanga","Aldea Grove Estate Angeles Pampanga Mining, Angeles",10810000,3,2,95,129,,
"Townhouse for Sale near SM at Evergreen Executive Village, Caloocan","Bagumbong, Caloocan City North, National Capital Region, Philippines Bagumbong, Caloocan",3700000,3,1,57,56.25,,
"Single Detached House for Sale near Dona Carmen MRT Station, Quezon City","Fairview, Quezon City",18000000,5,3,300,400,14.7055228,121.0742821
"McKinley Hill Village: House For Sale, Lot 189m2, Floor 450m2, 4BR, Taguig City","McKinley Hill, Taguig",135000000,4,5,450,189,14.5330489,121.0524293
"4 Bedroom House for Sale in BF Resort Village, Las Piñas City","Talon Dos, Las Pinas",8500000,4,2,160,102,14.4330886,120.9847045
Fully Furnished House and Lot For Sale in Filinvest 2 Commonwealth Quezon City,"Filinvest 2 Batasan Commonwealth Quezon City Townhouse Katipunan, Teachers Village, UP Diliman, Ateneo, Miriam, City Hall, Philippine Kidney Hospital, Heart Center, Lung Center, MRT EDSA, SM North EDSA, Trinoma Congress, Batasang Pambansa House and Lot, Commonwealth, Quezon City",22500000,4,4,246,194,,
3 Garage 4BR Townhouse For Sale in Tandang Sora Quezon City Nr Mindanao Avenue,"Tandang Sora, Quezon City",9750000,4,4,148.73,58.53,14.6818637,121.0322006
"For Sale Senior-Friendly Bungalow House in BF Homes, Parañaque City","B.F. Homes, Paranaque",24950000,5,4,250,280,14.4462789,121.0274109
"For Sale: 4 Bedroom House in Valle Verde 5, Pasig City, Metro Manila","Ugong, Pasig",162000000,4,4,400,479,14.5841307,121.0732458
"For Sale Luxurious Mansion in Ayala Alabang Village, Muntinlupa City","Ayala Alabang, Muntinlupa",,7,7,1500,900,14.4226096,121.0269407
2-Storey Townhouse with 3 Bedrooms for Sale in Quezon City (RFO),"Novaliches, Quezon City",5710000,3,4,117,43.33,14.7209396,121.038922
"4 Bedroom Modern Contemporary House for Sale in Pristina North, Talamban, Cebu","Talamban, Cebu",35000000,4,4,300,336,10.3693575,123.9169315
"Brand New BF Homes Modern House for sale in B.F. Homes, Parañaque","B.F. Homes, Paranaque",34000000,4,5,380,286,14.4462789,121.0274109
3 Storey Townhouse For Sale in Project 8 nr EDSA Munoz Congressional Quezon City,"Project 8, Quezon City",9700000,3,3,200,80,14.6641862,121.0201724
Full sea view House and lot for sale at Playa Calatagan - beautiful sea view,"Playa Calatagan House and lot for sale Santa Ana, Calatagan",29000000,5,4,200,591,,
"House and Lot For Sale at Santa Rosa Estates 2 in Sta. Rosa, Laguna","Santo Domingo, Santa Rosa",,4,4,250,225,14.2459557,121.0461524
Brand New Modern Two Storey House in Angeles City,"Amsic, Angeles",11500000,4,3,190,120,15.1560029,120.5708031
"For Sale 4 Bedrooms 2 Garage Single Detached House in Better Living, Parañaque","Don Bosco, Paranaque",18500000,4,4,350,210,14.4843304,121.0314209
"For Sale Single Attached House and Lot with P200K Promo Discount, San Pablo","San Ignacio, San Pablo",3200000,3,2,54,88,14.0462788,121.3424202
"Affordable 4 Bedrooms House and Lot for Sale in Angeles City, Pampanga","Sapalibutad, Angeles",7224820,4,3,189,182,15.1638095,120.6175416
"3BR Townhouse For Sale in Ortigas Avenue Extension, Pasig City","Birmingham Metropolis 3 Countryside Pasig City Santa Lucia, Pasig",6450000,3,2,70,60,,
"Modern 5 Bedroom Townhouse for Sale in New Manila, Quezon City","New Manila, Quezon City",87000000,5,5,620,112,14.6134141,121.0291416
For Sale 3BR House in BluHomes Katmon: Eco-Friendly Homes in San Jose del Monte,"Rosanna Heights, Barangay San Manuel, San Jose Del Monte, Bulacan Tungkong Mangga, San Jose del Monte",5763000,3,2,70.45,72,,
"4-BR Single-Attached House and Lot in San Miguel, Pasig City","San Miguel, Pasig",8500000,4,,120,91,14.5658684,121.0855568
3BR Townhouse for sale in Pasong Tamo Tandang Sora Quezon City nr Congressional,"Tandang Sora Quezon City House and Lot nr Congressional Mindanao Avenue Visayas Avenue Commonwealth Teachers Village, UP Diliman, Ateneo, Project 8, Philippine Kidney Hospital, Heart Lung Center SM North EDSA, Trinoma, Quirino Highway, Novaliches, Sauyo, Pasong Tamo, Quezon City",7300000,3,3,91.6,47.9,,
"Fully Furnished House and Lot in Pulu Amsic, Angeles City For Sale","Amsic, Angeles",18500000,4,3,217,246,15.1560029,120.5708031
"San Lorenzo Village 2 Storey House 5 Bedroom for Sale, Makati City","San Lorenzo, Makati",200000000,5,5,,470,14.5508772,121.020783
Fully Furnished 5 Bedrooms House for Sale in Tagaytay City with 2 Car Garage,"Buck Estate, Alfonso",25000000,5,4,,226,14.0835001,120.8542787
House and Lot For Sale with Pool at Dasmariñas Village  Makati City,"Dasmarinas, Makati",750000000,5,5,600,1012,14.5401434,121.0269757
RUSH SALE 4 BEDROOM BRAND NEW MODERN MINIMALIST HOUSE IN MAA,"Ma-A, Davao",13600000,4,3,148,150,7.0807144,125.5827159
"For Sale 4 Storey Townhouse at Sampaloc, Manila City","Philippines, Manila, Barangay 521, San Diego Sampaloc, Manila",11900000,3,4,180,52.5,14.6130359,120.9816425
Rush Sale!! 5 Bedroom Brand New & Fully Furnished House near Davao Airport,"Buhangin, Davao",14000000,5,4,300,162,7.1469686,125.5940509
"Walking distance Property near SLU Annex, Baguio City for Sale!","Pinget, Baguio",6800000,1,1,35,168,16.4275072,120.5850982
"Nuvali Treveia House and Lot with 4BR for Sale in Canlubang, Calamba, Laguna","Treveia, NUVALI, Barangay Canlubang, Calamba City, Laguna Canlubang, Calamba",30000000,4,4,302,250,,
House and Lot for sale in Mandaluyong City,Mandaluyong,33000000,4,4,275,201,14.5774392,121.0338973
"For Sale 5 Bedrooms Modern Zen House in Ayala Westgrove Heights, Silang Cavite","Puting Kahoy, Silang",,5,5,600,576,14.2158649,121.0316311
"3 Bedrooms House with Garage For Sale in Liliesville, Caloocan City","Camarin, Caloocan",5600000,3,3,97,50,14.7560394,121.0492887
MODERN SCANDINAVIAN HOUSE IN ANGELES CITY,"Amsic, Angeles",15500000,4,3,220,165,15.1560029,120.5708031
"BF Northwest, Parañaque: House and Lot for Sale, with Pool, 5BR, 4 parking, New","B.F. Homes, Paranaque",90000000,5,6,860,586,14.4462789,121.0274109
Brand New Two - Storey House in Angeles City,Angeles,9500000,4,3,190,120,15.1389351,120.5875321
Treveia Nuvali House And Lot For Sale,"Canlubang, Calamba",30000000,4,4,302,250,14.2160319,121.1080378
"6-BR Brand New Modern Contemporary House in Mirala Nuvali, Calamba","Canlubang, Calamba",45000000,6,5,442,448,14.2160319,121.1080378
"4 Bedroom House with Panoramic View in Kishanta, Talisay City, Cebu","Lagtang, Talisay",28000000,4,4,330,200,10.2669491,123.8335173
VERSAILLES PALACE ALABANG GLOBAL CITY,"Almanza Dos, Las Pinas",29000000,3,5,220,256,14.4234362,121.0223422
5 bedroom Brand New Mckinley Hill Village house for sale Taguig,"Fort Bonifacio, Taguig",132000000,5,5,,188,14.5494253,121.0509721
Ayala Westgrove Heights 4-Bedroom House For Sale,"Puting Kahoy, Silang",68000000,4,5,506,389,14.2158649,121.0316311
"3 Bedroom Townhouse for Sale in AFPOVAI, Taguig","Western Bicutan, Taguig",11000000,3,3,100,30,14.5095273,121.0380244
"For sale 2 Bedroom Townhouse along the highway in San Pablo, Laguna","San Ignacio, San Pablo",1800000,2,1,40,44,14.0462788,121.3424202
5 bedroom Brand New Mckinley Hill Village house for sale Taguig,"Fort Bonifacio, Taguig",132000000,5,5,,188,14.5494253,121.0509721
VERSAILLES PALACE ALABANG GLOBAL CITY,"Almanza Dos, Las Pinas",29000000,3,5,220,256,14.4234362,121.0223422
"4-Bedroom House and Lot for Sale in Mining, Angeles City, Pampanga","Mining, Angeles, Pampanga, Philippines Mining, Angeles",12000000,4,3,186,120,,
Rush Sale 3-Bedroom Townhouse near SM Southmall in Las Piñas City,"Talon Singko, Las Pinas",7000000,3,3,112,89,14.4292773,121.0032155
"East Fairview House and Lot 3 Bedrooms, 3 Toilet and Bath, Quezon City For Sale","Fairview, Quezon City",8350000,3,3,102,68,14.7055228,121.0742821
Philamlife Village Las Pinas House and Lot for Sale,"Almanza Dos, Las Pinas",25000000,4,5,250,235,14.4234362,121.0223422
"5-Bedroom House and Lot for Sale in Manila Southwoods, Carmona, Cavite","Cabilang Baybay, Carmona",62000000,5,5,447,816,14.3175013,121.0512123
House and Lot for Sale in Silang Cavite Near Nuvali,"Inchican, Silang",35400000,4,4,391,336,14.2510549,121.0527366
"RFO House For Sale in Serra Homes Filinvest East Homes, Cainta","San Isidro, Cainta",16800000,4,4,221.23,201.9,14.6092561,121.1106377
For Sale : 3 Bedroom House & Lot at Scout Area in Quezon City,"Sacred Heart, Quezon City",66060000,3,2,,367,14.6313914,121.0389159
"Great Deal Alabang Hills, Muntinlupa: House for Sale, Lot area 603 sqm","Cupang, Muntinlupa",78000000,4,5,382.06,603,14.4378843,121.0503212
"The NEST ROYALE 3-4 Storey 3-4 BR H&L, Maid's Rm, Cainta-Marikina","Santo Nino, Cainta",14582000,4,4,264,100,14.5817896,121.1189949
2-Storey Townhouse Unit with 6 Bedrooms for Sale in Quezon City (RFO),"Fairview, Quezon City",9930000,6,4,160,68,14.7055228,121.0742821
"For Sale : 2 Storey House & Lot in Villamar 1st Street at Tambo, Parañaque City","Tambo, Paranaque",96000000,,,700,800,14.5173079,120.9933811
3BR House and Lot at Cerritos Trails Village for Sale,"Daang Hari Road, Bacoor",7800000,3,3,83,103,14.390641,120.9792922
4-BR Prime Residential House in Sun Valley Estates & Golf Club Antipolo,"Sun Valley Estates Brgy San Juan Antipolo City Bagong Nayon, Antipolo",16650000,4,5,172,264,,
"Single Attached House 3 Storey for Sale in West Fairview, Quezon City","Carnation, 1118 Quezon City, Philippines Fairview, Quezon City",9850000,6,5,170.42,74.5,,
"For Sale 3 Bedroom House and Lot in St. Ignatius Village, Quezon City","Saint Ignatius, Quezon City",61440000,3,3,250,384,14.6130801,121.0729596
"Abigail 4 Bedrooms House and Lot for sale in San Fernando, Pampanga","Sindalan, San Fernando, Central Luzon, Philippines Sindalan, San Fernando",7350000,4,3,135,164,,
"For Sale Venare Nuvali Brand New House and Lot in Calamba, Laguna","Canlubang, Calamba",30000000,4,4,310,243,14.2160319,121.1080378
For Sale Spacious Contemporary Split Level Home in Ayala Alabang with Big Garden,"Ayala Alabang, Muntinlupa",222250000,4,4,700,910,14.4226096,121.0269407
Ayala Alabang Village House & Lot,"Ayala Alabang, Muntinlupa",205000000,6,4,600,870,14.4226096,121.0269407
3 Car Garage 4BR Townhouse For Sale in Tandang Sora Quezon City Mindanao Avenue,"Tandang Sora, Quezon City",9850000,4,4,150,58.7,14.6818637,121.0322006
"2-storey house 5 Bedrooms, 3 T&B, FOR SALE: Bel-Air Village Phase 3, Makati City","Bel-Air, Makati",400000000,5,3,654,698,14.5620342,121.0280944
"For Sale: 2 Storey Valenzuela Townhouse near Tandang Sora, Valenzuela City","Ugong, Valenzuela",5696435,3,3,82,65,14.6951994,121.0112037
Silvana Heights Townhouse for Sale in Pandi Bulacan thru Pagibig financing,"Cacarong Matanda, Pandi",1227966,2,1,46.6,36,14.9036508,120.967827
"The Alcove 3 Storey Townhouse For Sale in Santa Monica, Quezon City","Santa Monica, Quezon City",10670517,3,3,143,66,14.7252015,121.043347
3 Car Garage 4BR Townhouse For Sale in Tandang Sora Quezon City Mindanao Avenue,"Tandang Sora, Quezon City",9850000,4,4,150,58.7,14.6818637,121.0322006
"Affordable 2 Bedroom Townhouse in Tanauan, Tanza, Cavite for Sale","Tanauan, Tanza",1860000,2,1,40,60.5,14.2923273,120.8290803
"For Sale Ayala Westgrove Heights 6-Bedroom House at Silang, Cavite","Puting Kahoy, Silang",95000000,6,5,668,478,14.2158649,121.0316311
"3 Bedroom - Corner Lot , w/ Mt. Malarayat View at Brookside Summit Point Lipa","Plaridel, Lipa",5900000,4,3,88.35,240,13.9999149,121.1789201
For Sale: 3 Storey Semi Furnished House in Parañaque,Paranaque,16000000,4,4,350,120,14.5008116,120.9915327
"Alvendia By Rockwell Townhouse for Sale in Santa Lucia, San Juan City","Santa Lucia, San Juan",40000000,3,3,272,,14.5978715,121.0351643
RUSH! GREENWOODS PASIG - 4 Bedroom House and Lot with Balcony for Sale,Pasig,9000000,4,2,300,120,14.5605166,121.0764343
Furnished House and Lot with Pool near Clark for Sale!,"Amsic, Angeles",30000000,6,5,350,800,15.1560029,120.5708031
"4Bedroom RFO Townhouse For Sale in Teachers Village, Quezon City near Kamias","Diliman, Quezon City",12900000,3,3,130,48.5,14.6361294,121.0335841
"For Sale 186 sqm Lot with 3 BR in La Posada Village, Sucat, Muntinlupa City","Sucat, Muntinlupa",28000000,3,2,219,186,14.4569804,121.0531587
Silvana Heights Townhouse for Sale in Pandi Bulacan thru Pagibig financing,"Cacarong Matanda, Pandi",1227966,2,1,46.6,36,14.9036508,120.967827
"The Alcove 3 Storey Townhouse For Sale in Santa Monica, Quezon City","Santa Monica, Quezon City",10670517,3,3,143,66,14.7252015,121.043347
"2-storey house 5 Bedrooms, 3 T&B, FOR SALE: Bel-Air Village Phase 3, Makati City","Bel-Air, Makati",400000000,5,3,654,698,14.5620342,121.0280944
"FOR SALE 3 Bedrooms, 2 Toilet and Bath","Brgy Tanauan Tanza Cavite Tanauan, Tanza",4337472,3,2,112.5,72,,
"For Sale: 2 Storey Valenzuela Townhouse near Tandang Sora, Valenzuela City","Ugong, Valenzuela",5696435,3,3,82,65,14.6951994,121.0112037
FS.   Brand new M  Residences by Victor Consunji in Capitol hills QC,"Capitol Hills, Quezon City",36500000,4,3,212,126,14.67035355,121.0906154
"For Sale ! Modern House in White Plains, Quezon City, Metro Manila","White Plains, Quezon City",165000000,6,6,800,433,14.6032747,121.0713026
5 Bedroom House and Lot For Sale in MetroGate Tagaytay Estates,"Francisco, Tagaytay",21251400,5,,180,352,14.1368264,120.986852
"Ayala Westgrove Heights Brand New Modern Zen House For Sale, Silang","Puting Kahoy, Silang",68000000,4,4,508,380,14.2158649,121.0316311
Townhouse For Sale Near Grace Christian College Quezon City,"Balingasa, Quezon City",40700000,4,4,329,124,14.6505356,121.0017007
"For Sale: Antoinette Model House at Versailles in Almanza Dos, Las Piñas City","Daang Hari Road Almanza Dos, Las Pinas",37858000,3,4,278,252,,
"4 Bedroom House and Lot For Sale in Magallanes Village, Makati City","Magallanes, Makati",125000000,4,4,400,401,14.54197105,121.0193326
Molave Highlands Subdivision in Consolacion Cebu,"molave highland subdivision Lamac, Consolacion",17500000,3,2,250,202,,
"Beverly Hills Subdivision For Sale 5 bedroom house and lot in Antipolo, Rizal","Mambugan, Antipolo",70000000,5,8,600,800,14.6188242,121.1403666
"3BR/3T&B House and Lot for sale in Panglao Island, Dauis, Bohol","Tabalong, Dauis",13500000,3,3,200,1000,9.623345,123.8198313
"House For Sale in Katarungan Village, Muntinlupa City, Metro Manila","Poblacion, Muntinlupa",20000000,3,2,300,300,14.3891448,121.0449804
"P8,333.00 Low Monthly, Great Deal House And Lot Samal for Sale","Del Monte, Island of garden Samal, Samal",2500000,2,1,42,100,7.0391094,125.7396788
"5 Bedroom Home for Sale in Dap-dap, Lapu-Lapu City, Vistamar","Dapdap, Mactan Island, Cebu, Lapu-Lapu City, Philippines Mactan, Lapu-Lapu",35000000,5,,320,496,,
"For Sale! 4 Storey House with 6 Parking Slots in White Plains, Quezon City","White Plains, Quezon City",165000000,6,5,850,433,14.6032747,121.0713026
"Furniture Included 3BR 3 Storey Townhouse for sale in Union Village, Quezon City","Culiat, Quezon City",15500000,3,4,185,78,14.6679617,121.0565912
"House and Lot with Gazebo For Sale in The Mango Manor, Canyon Woods, Batangas!",Talisay,56000000,6,5,687,421,14.0939348,121.0218094
Ayala Westgrove Heights Modern House For Sale,"Puting Kahoy, Silang",60500000,4,4,600,450,14.2158649,121.0316311
"Beautiful 4-Bedroom House For Sale at El Monte Verde, Consolacion","El Monteverde Subd, 6001 Consolacion, Philippines Lamac, Consolacion",29000000,4,4,304,356,,
"6 Bedroom House and Lot for sale in Ayala Alabang, Muntinlupa City","Ayala Alabang, Muntinlupa",170000000,6,5,500,695,14.4226096,121.0269407
Modern and Elegant Townhouse for Sale at New Haven Village in Quezon City,"Kaligayahan, Quezon City",10280000,5,3,197,77,14.7383609,121.0508834
Brand New Modern Contemporary House with Swimming Pool in Angeles City,Angeles,15700000,4,3,165,220,15.1389351,120.5875321
"Brand New, Semi-furnished Modern House and Lot in San Fernando, Pampanga","Telabastagan, San Fernando",10000000,4,3,128,150,15.1142829,120.6088717
"3-Storey Brand New 5BR Townhouse in Valle Verde 6, Pasig City for Sale | Unit 3","Ugong, Pasig",100000000,5,5,460,190,14.5841307,121.0732458
"For Sale: Luxury House with Big Garden Mabalacat, Pampanga","Clark, Mabalacat",19000000,3,3,245,433,15.1920323,120.579523
Brand new House w/ swimming pool For Sale in Angeles Pamp. near Clark,"Cuayan, Angeles",12800000,3,3,172,165,15.149137,120.5458117
Ayala Southvale Primera House and Lot for Sale,"Ayala Southvale Primera Bacoor, Cavite Molino I, Bacoor",70000000,4,4,480,518,,
"5 Bedrooms House for Sale in Hillsborough, Alabang Village, Muntinlupa","Cupang, Muntinlupa",66000000,5,5,500,450,14.4378843,121.0503212
"L-R-1-829- Acquired Property for Sale in Lot 3, Block 1, Road Lot 3, Woodlands Subd., Brgy. Viga, Calamba City, Laguna - Retail","Makiling, Calamba",3354800,,,149,132,14.1544126,121.1368026
"2-Storey House for Sale in BF Homes, Parañaque City, Metro Manila","B.F. Homes, Paranaque",25000000,5,4,300,280,14.4462789,121.0274109
"3 Bedroom Townhouse with Garage in Nia Village, Quezon City","Tandang Sora, Quezon City",10900000,3,3,140,80,14.6818637,121.0322006
"For Sale : Green Valley Townhomes in Valle Verde, Pasig City","Ugong, Pasig",36500000,4,3,240,170,14.5841307,121.0732458
3BR Beautiful Tuscany Estate Exclusive Subdivision House and Lot Package (NRFO),"Biday, San Fernando",5364000,3,2,80,81,16.639055,120.3249608
"Ayala Westgrove Heights Ridge House With An Elevator, Silang For Sale","Inchican, Silang",89000000,4,4,600,396,14.2510549,121.0527366
"2BR Fairway Townhouse For Sale in Canyon Woods Residential, Laurel","San Gregorio, Laurel",5000000,2,3,120,82,14.0296242,120.8855456
"Brand New Smart House for Sale in Tivoli Royale, Quezon City","Matandang Balara, Quezon City",120000000,8,7,720,402,14.6716797,121.0745345
Culiat (Area in Quezon City) near Visayas Avenue 3 Bedroom 2 Storey Townhouse,"Culiat, Quezon City",9500000,3,3,136.5,83.73,14.6679617,121.0565912
"Mirala Nuvali 6 Bedrooms Modern Contemporary House For Sale, Calamba, Laguna","Canlubang, Calamba",35000000,6,7,400,367,14.2160319,121.1080378
"Brand New Renovated House for Sale in Pilar Village, Las Piñas City","Pilar, Las Pinas",9500000,2,2,145,192,14.4252635,121.0058656
Loyola Grand Villas 13 Bedrooms for Sale,"Loyola Heights, Quezon City",120000000,13,13,1250,1000,14.6410904,121.0737779
"Fully Furnished House & Lot in Buena Vista Subdivision, Mabalacat for Sale!","Santa Maria, Mabalacat",19000000,3,3,245,433,15.2270079,120.5922007
Ayala Westgrove Heights Silang House For Sale 4-BR Brand New Modern Contemporary,"Puting Kahoy, Silang",60000000,4,4,446,352,14.2158649,121.0316311
House and Lot in Teachers Village,"Teachers Village East, Quezon City",33000000,3,,,412,14.6442313,121.059698
Brand New 3 Storey Duplex Katarungan Village,"katarungan Poblacion, Muntinlupa",8000000,4,4,210,78,14.3889191,121.0255267
Well Maintained House for Sale in BF Resort Village Las Piñas,"Talon Dos, Las Pinas",25000000,6,6,380,420,14.4330886,120.9847045
"Rest House farm for sale in Maligaya, Dinalupihan, Bataan","Maligaya, Dinalupihan",14000000,4,3,200,10000,14.86259055,120.4264051
"Rest House farm for sale in Maligaya, Dinalupihan, Bataan","Maligaya, Dinalupihan",14000000,4,3,200,10000,14.86259055,120.4264051
"Ready For Occupancy Townhouse Unit Located for sale in Betterliving, Parañaque","Don Bosco, Paranaque",14000000,4,4,225,118,14.4843304,121.0314209
Brand New 3 Storey Duplex Katarungan Village,"katarungan Poblacion, Muntinlupa",8000000,4,4,210,78,14.3889191,121.0255267
"Tropical Minimalist House For Sale in Anvaya Cove, Morong, Bataan","Sabang, Morong",65000000,4,4,400,575,14.6963675,120.2529414
"Townhouse for sale in Pasong Tamo, Tandang Sora Quezon City Near Congressional","Pasong Tamo, Quezon City",7300000,3,3,91.6,47.9,14.6827233,121.0617082
"5 Bedroom House for Sale in Bacoor Boulevard, Cavite - floor free community","Mambog II, Bacoor",25000000,5,5,232.14,175,14.4243574,120.9513831
4BR Brand New Duplex House with Overlooking View for sale in Taytay,"San Juan, Taytay",10400000,4,3,190,110,14.5585639,121.1360313
"4.75M 3BR Townhouse Unit with 1 Car Garage for Sale in Fairview, Quezon City","Fairview, Quezon City",4750000,3,2,91.19,60,14.7055228,121.0742821
"For Sale : 4-Bedrooms House and Lot in Tagaytay City, Cavite","Francisco, Tagaytay",14500800,4,2,120,240,14.1368264,120.986852
For Sale 4-Bedroom House at an Exclusive Subdivision in Iloilo City,"Sta. Cruz, Arevalo, Iloilo City Mohon, Iloilo",7900000,4,4,175,240,,
Dagupan City 4BR Customized & Modern Design House and Lot Package,"Bonuan Boquig, Dagupan",5730000,4,2,100,190,16.0774984,120.3580251
"Private Hot Spring Resort in Los Baños, Laguna - Corner lot","Lalakay, Los Banos",28500000,5,4,300,321,14.1729436,121.2142216
"Charming House and Lot For Sale in Camp 7, Baguio City, Benguet","Camp 7, Baguio",25000000,5,3,250,183,16.3823953,120.6020345
"For Sale rent to own Townhouse near Patts College, SM BF, Jaka Plaza, Parañaque","San Isidro, Paranaque",4660000,2,2,36,38,14.4711274,121.0076663
"new price 16.5m only marcelo bungalow, parañaque","Marcelo Green Village, Paranaque, National Capital Region, Philippines Marcelo Green Village, Paranaque",16500000,4,4,250,370,,
"3-Bedroom Duplex House and Lot For Sale in San Miguel, Pasig City","San Miguel, Pasig",7000000,3,2,100.3,72,14.5658684,121.0855568
3-Bedroom Merville House Property for Sale in Parañaque City,"Merville, Paranaque",38000000,3,3,330,420,14.501909,121.0266683
"Affordable 2 Bedroom House and lot for sale in St. San Antonio, Biñan, Laguna","San Antonio, Binan",2650000,2,1,43,45,14.327945,121.0912883
"A White Beachfront Resthouse for Sale in San Juan, Batangas","Calubcub II, San Juan",85000000,5,6,1080,1700,13.7367475,121.420371
