address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Deptford Broadway, Deptford, Greater London, SE8 4PH",,1550,2235,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"Radley Court, London, SE16",SE16,1950,2250,Long term,Ask agent,Ask agent,Terraced,2,1,599 sq ft,0.4,3
New Cross Road London SE14,,2500,0,Long term,Part furnished,Ask agent,Apartment,2,1,Ask agent,0.5,3
"Lyell Street, London City Island",,1647,0,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.4,3
"Carlton House, High Road, Ilford, IG1",IG1,1400,1615,,Furnished,Ask agent,Flat,1,1,484 sq ft,0.7,3
"Springer Court, Navigation Road, London, E3",,2000,2307,Long term,Ask agent,Ask agent,Apartment,2,,Ask agent,0.4,3
"Medland House, 
11 Branch Road, E14",E14,1890,2181,Long term,Ask agent,Ask agent,Flat,1,1,Ask agent,0.5,3
"Millharbour, London, E14",E14,2150,2480,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.3,3
"Hay Close, Stratford, London, E15",E15,1500,1600,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Ability Place, 37 Millharbour, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,2,2,707 sq ft,0.3,3
"Defoe House, London City Island, London, E14",E14,1898,0,Long term,Furnished,Ask agent,Apartment,,1,Ask agent,0.4,3
"Rolfe Terrace, London, SE18",SE18,1600,1846,Long term,Furnished,Ask agent,Flat,1,1,563 sq ft,0.5,3
"Lockesfield Place, Isle of Dogs, E14",E14,4983,6000,,Furnished,Ask agent,Town House,5,5,"1,173 sq ft",0.3,3
"Bermondsey Street, Bermondsey Street, London, SE1 3TX",,2800,0,Long term,Ask agent,Ask agent,Apartment,2,2,Ask agent,0.5,3
"Landmark West Tower, Canary Wharf, E14",E14,2249,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Cold Harbour, Canary Wharf",,1096,0,Long term,Furnished,Ask agent,Flat,,1,Ask agent,0.4,3
"Grayston House, Ottley Drive, Kidbrooke, SE3",SE3,1450,1673,Long term,Ask agent,Ask agent,Apartment,1,,Ask agent,0.7,3
"Victoria Park Square, Bethnal Green, London, E2",,1700,1961,Long term,Furnished,Ask agent,Apartment,,1,350 sq ft,0.3,3
"Flotilla House, 12 Cable Street, Royal Wharf, London, E16",E16,2970,3426,Long term,Furnished,Ask agent,Apartment,3,2,Ask agent,0.4,3
"Kingwood Apartments, Waterline Way, London, SE8",SE8,1800,2076,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.7,3
"Avalon Point, 1 Silvocea Way, Orchard Wharf, London, E14",E14,1720,1984,Long term,Furnished,Ask agent,Apartment,1,1,547 sq ft,0.3,3
"Sky Apartments, Homerton, London, E9",,2700,700,Short term,Ask agent,Ask agent,Flat,1,1,424 sq ft,0.7,3
"Building 22, Cadogan Road, Royal Arsenal SE18",,2000,2308,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Metcalfe Court, West Parkside, London, SE10",SE10,1650,0,,Part furnished,Ask agent,Apartment,1,1,Ask agent,0.6,3
"Adams Walk, Forest Gate, London, London, E7",,2995,3455,Long term,Part furnished,Ask agent,Semi-Detached,4,2,961 sq ft,0.4,3
"Discovery Docks Apartment West, 2 South Quay Square, London, E14",E14,2495,0,Long term,Unfurnished,Ask agent,Apartment,2,2,Ask agent,0.1,3
"Langan House, 14 Keymer Place, Lime House, London, E14",E14,3200,3692,Long term,Furnished,Ask agent,Apartment,3,2,879 sq ft,0.5,3
"Gateway Tower, 28 Western Gateway, London, E16",E16,1800,2076,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.2,3
"Abram Building, Riverscape, Silvertown, London, E16",E16,2167,2500,Long term,Part furnished,Ask agent,Flat,1,1,573 sq ft,0.4,3
"Bow Common Lane, London",,2800,3230,Long term,Furnished,Ask agent,Flat,3,2,776 sq ft,0.5,3
"Park Drive, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,,1,516 sq ft,0.3,3
"No1 West India Quay, 26 Hertsmere Road, London, E14",E14,3400,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,2,Ask agent,0.2,3
"Arena Tower, 25 Crossharbour Plaza, London, E14",E14,4300,0,Long term,Furnished,Ask agent,Apartment,3,2,Ask agent,0.3,3
"Landmark West Tower, 22 Marsh Wall, London, E14",E14,2400,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Stepney Causeway, E1",,2648,3173,Long term,Part furnished,Ask agent,Maisonette,4,2,Ask agent,0.5,3
"Altius Apartments, 714 Wick Lane, E3 2PZ",,1733,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"Ontario Tower, Fairmont Avenue, Canary Wharf, London, E14 9JA",,1733,0,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.2,3
"Balfron Tower, St. Leonards Road, E14",E14,1850,2134,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1,1,Ask agent,0.3,3
"Hampton Tower, 
75 Marsh Wall, E14",E14,3000,3462,Long term,Ask agent,Ask agent,Flat,1,1,Ask agent,0.2,3
"Dunstans Grove, East Dulwich, London, SE22",SE22,2250,0,Long term,Part furnished,Ask agent,Apartment,2,1,Ask agent,0.9,3
"Perry Vale, Forest Hill, SE23",SE23,1800,2076,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.6,3
"Fingal Street, London, SE10",SE10,1850,2134,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.6,3
"Cherry Park Lane, London, E20",E20,3302,600,Long term,Furnished,Ask agent,Apartment,2,,Ask agent,0.2,3
"North Boulevard, Baltimore Wharf, Canary Wharf E14",,2708,3125,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Circus Apartments, Upper Floor Flat, Two Bed Apartment, Canary Wharf,  E14 (973sq.ft) £930 P/W",,4030,4030,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Balfron Tower, St. Leonards Road, E14",E14,3500,4038,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,4,2,Ask agent,0.3,3
"Canning Town, London, E16",E16,2000,0,Long term,Ask agent,Ask agent,Flat,2,2,Ask agent,0.5,3
"Asylum Road, Peckham, SE15",SE15,1650,1903,Long term,Unfurnished,Ask agent,Apartment,2,,Ask agent,0.4,3
"Hunters Hall Road, DAGENHAM",,1850,0,Long term,Unfurnished,Ask agent,House,2,1,Ask agent,0.8,3
"Asylum Road, Peckham, SE15",SE15,1995,2301,Long term,Unfurnished,Ask agent,Apartment,2,1,Ask agent,0.5,3
"Heartwell Avenue, London, E16",E16,2500,2884,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
Indescon Square Isle Of Dogs E14,,2500,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Green Street, London, E13",E13,1800,2076,Long term,Part furnished,Ask agent,Apartment,2,1,Ask agent,0.6,3
"Azure Building, London, E15",E15,2700,3115,Long term,Ask agent,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Brigadier Walk, Royal Arsenal Riverside, SE18",SE18,2600,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.4,3
"Flores Court, 20 Dongola Road, Stepney Green, Whitechaple, Mile End, London, E1 4QR",,3467,0,Long term,Furnished,Ask agent,Apartment,4,2,Ask agent,0.4,3
"Colville House, Waterloo Gardens, Bethnal Green E2",,1800,0,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Francis House, Barking Road, London, E13",E13,1550,1788,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,365 sq ft,0.7,3
Benson Street Barking IG11 0YY,,3300,3807,Long term,Unfurnished,Ask agent,Town House,4,2,Ask agent,0.9,3
"Pegler Square, Kidbrooke Village, London, SE3",SE3,2300,2653,Long term,Furnished,Ask agent,Apartment,2,1,764 sq ft,0.7,3
"Station Road, London, SE13",SE13,1861,1900,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"The Highway, London, E1W",E1W,2500,0,Long term,Furnished,Ask agent,Apartment,3,1,Ask agent,0.4,3
"Frobisher Street, London, SE10",SE10,1500,1788,Long term,Unfurnished,Ask agent,Flat,1,1,409 sq ft,0.5,3
"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, London, E14",E14,2650,3057,Long term,Furnished,Ask agent,Apartment,2,2,758 sq ft,0.2,3
"Rothsay Street, London",,2817,0,Long term,Ask agent,Ask agent,Flat,2,2,Ask agent,0.6,3
"Jacob Street, London",,2300,0,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.6,3
"Deptford Church Street, London",,1800,0,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.3,3
"Yeoman Street, London",,1998,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.6,3
"Exchange Building, 
Commercial Street, E1",,2500,2885,Long term,Ask agent,Ask agent,Flat,1,1,630 sq ft,0.4,3
"Bagshaw Building, 1 Wards Place, Canary Wharf, London, E14",E14,2800,0,Long term,Furnished,Ask agent,Apartment,,1,Ask agent,0.2,3
"Burdett Road, Bow",Bow,1746,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Basin Approach, London, E14",E14,2700,2700,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.4,3
"Blondin Way, London, SE16",SE16,1950,2250,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.6,3
"Mount Adon Park, SE22",SE22,2000,2307,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.9,3
"Commercial Street, London, E1 6LT, UK",,3080,0,Long term,Furnished,Ask agent,Apartment,,1,392 sq ft,0.3,3
Circus Apartments E14,,4030,0,Long term,Furnished,Ask agent,Apartment,2,2,973 sq ft,0.3,3
"Commercial Road, London, E14 7JR, UK",,2490,0,Long term,Furnished,Ask agent,Apartment,1,1,598 sq ft,0.4,3
"Westferry Road, E14",E14,1647,1904,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Alaska Building, 
Deals Gateway, SE13",SE13,1750,0,Long term,Furnished,Ask agent,Flat,1,,Ask agent,0.2,3
"Millet Place, Pontoon Dock London E16",,1800,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Faraday Avenue, Sidcup, DA14",DA14,2800,3231,,Unfurnished,Ask agent,Chalet,5,2,Ask agent,0.8,3
"Times Square, Aldgate, London, E1",,2383,2749,Long term,Furnished,Ask agent,Flat,,1,Ask agent,0.3,3
Kidbrooke Park Road London SE3,,2500,2885,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.6,3
"Landmark Pinnacle, Marsh Wall, London, E14",E14,4000,4615,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Ontario Point, Surrey Quays Road, Canada Water, London, SE16",SE16,2400,2769,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.2,3
Lee Conservation Area,,3750,4327,Long term,Part furnished,Ask agent,Terraced,4,2,Ask agent,0.6,3
"Tower Bridge, London, E1",,1000,1000,Long term,Furnished,Ask agent,Flat Share,1,1,Ask agent,0.4,3
Hornblower Close London SE16,,2750,3173,Long term,Furnished,Ask agent,Semi-Detached,2,2,Ask agent,0.5,3
"Hampton Tower, 75 Marsh Wall, Canary Wharf, London, E14",E14,2800,3230,Long term,Furnished,Ask agent,Apartment,1,1,659 sq ft,0.2,3
"Riverstone Heights, 18 Reed Avenue, London, E3 3ZF",,2905,0,Long term,Unfurnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Maine Tower, 9 Harbour Way, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,1,1,564 sq ft,0.2,3
"25 barge Walk, Greenwich, LONDON, SE10",SE10,2200,0,,Furnished,Ask agent,Apartment,2,2,Ask agent,0.6,3
"Freda Street, London",,2000,0,Long term,Ask agent,Ask agent,Flat,1,1,Ask agent,0.6,3
Calico House,,2625,0,,Furnished,Ask agent,Apartment,2,2,793 sq ft,0.4,3
St. James Court Edison Road,,1500,0,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Nyland Court, Greenland Place, SE8",SE8,2200,0,Long term,Ask agent,Ask agent,Apartment,2,2,Ask agent,0.6,3
"Peppercorn Court, Oxbow, E14",E14,1750,0,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.3,3
"Westminster Gardens, Barking, IG11",IG11,2100,2423,Long term,Unfurnished,Ask agent,End of Terrace,3,1,893 sq ft,1,3
"Richard Street, Whitechapel, London",,1750,2134,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Little Heath Road, Bexleyheath, Kent, DA7",DA7,3350,3865,Long term,Part furnished,Ask agent,Semi-Detached,4,2,Ask agent,1,3
"Catalina House, 4 Canter Way, Goodman's Fields, E1",,3000,0,Long term,Furnished,Ask agent,Apartment,1,1,578 sq ft,0.2,3
Cedars Road | E15,,925,1067,Long term,Part furnished,Ask agent,House Share,1,2,Ask agent,0.5,3
"3 Tidal Basin Road, London, E16",E16,2500,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.4,3
The Q | Stratford High Street | E15,,1600,1846,Long term,Part furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Roden Street, Ilford, London, IG1",IG1,2050,0,Long term,Furnished,Ask agent,Apartment,2,2,667 sq ft,0.7,3
"Altitude Point, E1",,6150,7096,Long term,Furnished,Ask agent,Penthouse,3,2,Ask agent,0.2,3
"Dundas Court, Greenwich, SE10",SE10,2400,2769,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Phoenix Heights East, E14",E14,2750,3173,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.2,3
"Ilford Hill, Ilford, London, IG1",IG1,2100,0,Long term,Furnished,Ask agent,Apartment,2,2,716 sq ft,0.7,3
"Ilford Hill, Ilford, London, IG1",IG1,2050,0,Long term,Furnished,Ask agent,Apartment,2,2,716 sq ft,0.7,3
"Ilford Hill, Ilford, London, IG1",IG1,1899,0,Long term,Unfurnished,Ask agent,Apartment,2,2,716 sq ft,0.7,3
"Hertsmere Road, 
Canary Wharf, E14",E14,3650,5054,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.2,3
"George Lane, Lewisham",,1550,1557,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.6,3
"Branch Road, E14",E14,2450,2826,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.5,3
"Silk District, 7 Cendal Crescent, E1",,3200,3923,Long term,Ask agent,Ask agent,Flat,2,2,763 sq ft,0.4,3
"Dundas Court, 29 Dowells Street, Greenwich, London, SE10",SE10,1950,2250,Long term,Furnished,Ask agent,Apartment,1,1,491 sq ft,0.3,3
"Nova Building, Newton Place, Canary Wharf London, E14",E14,2990,0,,Furnished,Ask agent,Apartment,3,1,Ask agent,0.6,3
"Ambassador square, Isle of dogs, Canary Wharf, London, E14",E14,6110,0,,Furnished,Ask agent,Town House,6,8,Ask agent,0.3,3
"Hallings Wharf Studios, London, E15",E15,2700,3115,Long term,Furnished,Ask agent,Flat,3,2,Ask agent,0.3,3
"Riverstone Heights, 18 Reed Avenue, London, E3 3ZD",,2750,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Tudor Court, Princes Riverside Road, Rotherhithe, London, SE16",SE16,2448,2825,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.5,3
"Hornbeam House, 22 Quebec Way, Canada Water, London, SE16",SE16,4117,4750,Long term,Furnished,Ask agent,Apartment,3,3,Ask agent,0.5,3
"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, E14",E14,3640,4200,Long term,Part furnished,Ask agent,Apartment,3,2,Ask agent,0.2,3
"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, E14",E14,3400,3923,Long term,Part furnished,Ask agent,Apartment,3,2,Ask agent,0.2,3
"Cable Street, London, E1 0BL, UK",,3170,0,Long term,Furnished,Ask agent,Apartment,2,1,762 sq ft,0.4,3
"Duckett Street, London, E1",,1950,2250,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Cassilis Road, London, E14 9LH",,1825,2105,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,482 sq ft,0.3,3
"Sunlight Square, E2",,2691,3105,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.2,3
"Aspen, Canary Wharf, E14",E14,2400,2769,Long term,Ask agent,Ask agent,Studio,,1,430 sq ft,0.2,3
"River View Heights, 27 Bermondsey Wall West, London",,3349,3865,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.5,3
"Tideslea Path, West Thamesmead, SE28 0NA",,1550,1788,Long term,Unfurnished,Ask agent,Apartment,2,2,Ask agent,0.9,3
"Sailors House, London, E14",E14,1895,2187,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Brockley Road, London, SE4",SE4,1600,1800,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Manor Way, Blackheath, London, SE3",SE3,2800,1292,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,3,2,Ask agent,0.6,3
"Harbourside Court, 1 Gullivers Walk, London, SE8",SE8,2200,2538,Long term,Furnished,Ask agent,Apartment,2,2,790 sq ft,0.7,3
"Ironmongers Place, Canary Wharf,London, E14",E14,4983,0,,Furnished,Ask agent,Semi-Detached,5,4,Ask agent,0.4,3
"St. Albans Avenue, London",,2300,0,Long term,Furnished,Ask agent,House,3,1,Ask agent,1,3
"Chaucer Drive, London, SE1",SE1,2750,3173,Long term,Furnished,Ask agent,Terraced,3,1,Ask agent,0.9,3
"Ferry Street, Isle of dogs, London, E14",E14,4983,0,,Furnished,Ask agent,Terraced,5,4,Ask agent,0.2,3
"62 Blair Street, London, E14 0JL",,2150,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.4,3
"Counter House, London Dock, London, E1W",E1W,2545,0,,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Napoleon Lane, London",,1600,1846,Long term,Unfurnished,Ask agent,House,1,1,Ask agent,1.1,3
"Old Kent Road, London, SE1",SE1,2095,2095,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.9,3
"Old Church Road, London, E1",,2950,3404,Long term,Unfurnished,Ask agent,Maisonette,3,1,Ask agent,0.4,3
"119 Sydney Road, Abbey Wood, SE2 9RY",,2400,2769,Long term,Ask agent,Ask agent,Town House,3,2,"1,312 sq ft",1.1,3
Millenium Close  Custom House E16,,2150,2480,Long term,Part furnished,Ask agent,Terraced,2,1,Ask agent,0.4,3
"DONALDSON ROAD, Woolwich, London, SE18",SE18,2350,2712,Long term,Unfurnished,Ask agent,Semi-Detached,3,1,"1,044 sq ft",1.2,3
"Solander Gardnes, Shadwell, London, E1",,1842,2125,Long term,Unfurnished,Ask agent,Flat,2,1,600 sq ft,0.4,3
"Abbey Street, Bermondsey, London, SE1",SE1,3150,3635,Long term,Part furnished,Ask agent,Flat,3,2,"1,226 sq ft",0.6,3
"Haddo House, SE10",SE10,1850,2135,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.1,3
"Sherwood Gardens, Isle Of Dogs, London, E14",E14,1842,2125,Long term,Part furnished,Ask agent,Flat,1,1,613 sq ft,0.5,3
", FALCONBROOK GARDENS, Canning Town, London, E16",E16,2400,2770,Long term,Furnished,Ask agent,Flat,1,,692 sq ft,0.3,3
"Tidal Basin Road, E16, Royal Docks, London, E16",E16,1750,2020,Long term,Unfurnished,Ask agent,Studio,,1,442 sq ft,0.2,3
"Leafy Oak Road, Grove Park, London, SE12",SE12,2300,2654,Long term,Unfurnished,Ask agent,Semi-Detached,3,1,874 sq ft,0.8,3
"Wellsmoor Gardens, Bickley, Bromley, BR1",BR1,2500,2885,Long term,Unfurnished,Ask agent,House,3,1,"1,070 sq ft",0.7,3
"Lewisham Way, New Cross, SE14",SE14,2000,2308,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Gilbert Close, Godwin House, SE18",SE18,1500,1730,Long term,Furnished,Ask agent,Apartment,1,,Ask agent,1.3,3
"Barquentine Heights, Greenwich, SE10",SE10,2500,2885,Long term,Unfurnished,Ask agent,Apartment,2,1,Ask agent,0.7,3
"Exeter Way, London, SE14",SE14,2195,2532,Long term,Ask agent,Ask agent,End of Terrace,2,1,Ask agent,0.2,3
"New Cross Road, London, SE14",SE14,1400,1615,Long term,Part furnished,Ask agent,Studio,,1,Ask agent,0.2,3
"Sunbury Court, 12 Myers Lane, New Cross, London, SE14",SE14,1200,0,Long term,Ask agent,Ask agent,Studio,,1,Ask agent,0.6,3
"Hampton Tower, 75 Marsh Wall, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,,1,472 sq ft,0.2,3
"Moremead Road, London, SE6",SE6,1595,0,Long term,Unfurnished,Ask agent,House,2,1,Ask agent,0.5,3
"Wards Place, Canary Wharf",,2496,0,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.2,3
"Circus Apartments, Two Bed Apartment, Canary Wharf,  E14 - £670 P/W",,2903,2903,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Bridge View Court, Grange Road, London Bridge, SE1",SE1,2968,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.7,3
"Barrier Point, Royal Docks E16",,2383,2750,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.5,3
"Voysey Square, London, E3",,1600,1846,Long term,Unfurnished,Ask agent,Apartment,1,1,439 sq ft,0.3,3
"Royal Wharf , London, E16",E16,2300,0,Long term,Part furnished,Ask agent,Flat,2,2,Ask agent,0.5,3
"Mercia Grove, London, SE13",SE13,1395,1610,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.5,3
"Slippers Place, London, SE16",SE16,2200,2000,Long term,Furnished,Ask agent,Flat,3,1,Ask agent,0.3,3
"Wharfside Point South, London, E14",E14,1675,1675,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.1,3
"Amory Tower (The Madison), Marsh Wall, London, E14",E14,2550,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.3,3
"Rennets Wood Road, Eltham, SE9",SE9,1850,2134,Long term,Ask agent,Ask agent,Apartment,3,1,Ask agent,1,3
Belfort Road London SE15,,1550,1788,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"Cavatina Point, 3 Dancers Way, London, SE8",SE8,2400,0,Long term,Ask agent,Ask agent,Apartment,2,2,Ask agent,0.3,3
"London Road, 26-28 London Road, Forest Hill",,1200,0,Long term,Furnished,Ask agent,,1,1,Ask agent,0.6,3
"Ashbourne House, North Birkbeck Road, Leyton",,1505,1736,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.6,3
"The Haydon, City of London, EC3N",EC3N,6000,8307,Long term,Ask agent,Ask agent,Apartment,2,2,948 sq ft,0.2,3
"Thunderer Street, Upton Park",,2999,0,Long term,Unfurnished,Ask agent,Flat,3,2,Ask agent,0.7,3
"Vetro Court, Salter Street, Canary Wharf, London, E14",E14,3250,0,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.3,3
"Southmere Building, Highland Street E15",,2000,2308,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Baizdon Road , Blackheath, London",,1850,2134,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.6,3
"Windsor Square, SE18",SE18,2850,0,Long term,Furnished,Ask agent,House,2,3,Ask agent,0.3,3
Hewetts Quay  Abbey Lane  Barking IG11,,1700,1961,Long term,Furnished,Ask agent,Apartment,,1,Ask agent,1,3
"Botanic Square, Canary Wharf",,2817,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.4,3
"Jamestown Way, Canary Wharf",,2249,0,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.3,3
Doggett Road London SE6,,1850,0,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Belfort Road,  Nunhead, SE15",SE15,1550,0,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"New Road, Rainham, Havering, London, RM13",RM13,2200,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Ground Flat,3,,Ask agent,1.1,3
"New Road, Rainham, Havering, London, RM13",RM13,1750,0,Long term,Ask agent,Ask agent,Apartment,2,,Ask agent,1.1,3
"New Road, Rainham, Havering, London, RM13",RM13,2150,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Ground Flat,3,,Ask agent,1.1,3
"New Road, Rainham, Havering, London, RM13",RM13,2100,0,Long term,Ask agent,Ask agent,Ground Flat,3,,Ask agent,1.1,3
"Westferry Road, London, Greater London. E14",,1750,2019,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Newham, E16 2Su, E16",E16,1950,1950,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"John Cabot House, London, E16",E16,1200,1200,Long term,Furnished,Ask agent,Flat Share,1,2,Ask agent,0.4,3
Upper Brockley Road London SE4,,2200,0,Long term,Furnished,Ask agent,Apartment,3,1,Ask agent,0.5,3
"City Harbour, Selsdon Way, Canary Wharf, E14",E14,2450,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Brigadier Walk, Royal Arsenal Riverside, SE18",SE18,2050,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Wharf Lane, Limehouse",,2149,0,Long term,Furnished,Ask agent,Flat,2,2,775 sq ft,0.4,3
"Lee High Road, London, SE13",SE13,775,894,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,House Share,1,2,Ask agent,0.6,3
"Belgrave Court, 
36 Westferry Circus, E14",E14,3000,4154,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.3,3
Bermondsey Wall West Shad Thames SE16,,4225,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,2,Ask agent,0.5,3
Jenner Close Sidcup DA14,,1750,2019,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,1.1,3
"Stanstead Road,  London, SE23",SE23,2000,2307,Long term,Ask agent,Ask agent,Flat,2,2,Ask agent,0.6,3
"Blenheim Grove, Peckham Rye, London, SE15",SE15,2500,0,Long term,Unfurnished,Ask agent,House,2,1,Ask agent,0.5,3
"Cossall Walk, Queens Road , London, SE15",SE15,1450,0,Long term,Part furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"West Tower, Hoola, 1 Tidal Basin Road, London, E16",E16,2500,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Riverscape, Royal Crest Avenue, E16",E16,2650,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.5,3
"10 Marsh Wall, Landmark Pinnacle, E14",E14,3683,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Drake Hall, Wesley Avenue, London, E16",E16,2100,2423,Long term,Ask agent,Ask agent,Apartment,2,1,Ask agent,0.3,3
"Bellenden Road, London, Greater London, SE15 4BY",,2100,2423,Long term,Unfurnished,Ask agent,Apartment,1,1,Ask agent,0.5,3
"Blenheim Court, King & Queen Wharf, SE16",SE16,1650,1904,Long term,Ask agent,Ask agent,Studio,,1,Ask agent,0.5,3
