location,size,total_sqft,bath,price,bhk,price_per_sqft
VGP Layout,2 BHK,1000.0,2.0,44.0,2,4400.0
Hosakerehalli,3 BHK,1596.0,3.0,79.8,3,5000.0
Bannerghatta Road,3 BHK,1750.0,3.0,130.0,3,7428.571428571428
Whitefield,4 Bedroom,2403.0,4.0,270.0,4,11235.955056179775
Old Madras Road,3 BHK,1350.0,3.0,47.25,3,3500.0
"TR Mill Road, Chamarajpet",2 BHK,1175.0,2.0,79.0,2,6723.404255319149
Talaghattapura,2 BHK,921.0,2.0,29.47,2,3199.782844733985
Malleshwaram,4 Bedroom,4000.0,4.0,1100.0,4,27500.0
Sultan Palaya,3 BHK,1713.0,3.0,125.0,3,7297.139521307648
Ittamadu,2 BHK,1200.0,2.0,43.0,2,3583.3333333333335
8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3,4736.8421052631575
Kudlu Gate,3 BHK,1664.0,3.0,68.0,3,4086.5384615384614
Binny Pete,3 BHK,1795.0,3.0,139.0,3,7743.732590529248
Kereguddadahalli,1 BHK,600.0,1.0,19.5,1,3250.0
Hoodi,2 BHK,1240.0,2.0,65.0,2,5241.935483870968
Hegde Nagar,3 BHK,1965.0,4.0,132.0,3,6717.557251908397
Vishveshwarya Layout,3 Bedroom,600.0,4.0,99.0,3,16500.0
Sarjapur,4 Bedroom,4111.0,4.0,370.0,4,9000.243249817562
Electronics City Phase 1,2 BHK,1200.0,2.0,59.76,2,4980.0
Ganga Nagar,2 BHK,1112.0,2.0,68.0,2,6115.107913669065
Raja Rajeshwari Nagar,3 BHK,3000.0,3.0,60.0,3,2000.0
Mahadevpura,2 BHK,1136.0,2.0,64.5,2,5677.816901408451
Jigani,2 BHK,914.0,2.0,55.0,2,6017.505470459519
Poorna Pragna Layout,3 BHK,1270.0,2.0,50.79,3,3999.212598425197
Rachenahalli,2 BHK,1050.0,2.0,47.25,2,4500.0
Marathahalli,3 BHK,1385.0,2.0,68.5,3,4945.848375451264
Medahalli,2 BHK,990.0,2.0,35.0,2,3535.3535353535353
Yelahanka,2 BHK,845.0,2.0,43.0,2,5088.757396449704
Whitefield,2 BHK,1485.0,2.0,96.51,2,6498.989898989899
Kanakapura,3 BHK,1460.0,2.0,43.79,3,2999.3150684931506
Thanisandra,2 BHK,1450.0,2.0,57.0,2,3931.0344827586205
HSR Layout,3 BHK,1360.0,2.0,53.0,3,3897.0588235294117
Singasandra,2 BHK,1375.0,2.0,58.0,2,4218.181818181818
Uttarahalli,2 BHK,1125.0,2.0,48.0,2,4266.666666666667
Banashankari,1 BHK,720.0,1.0,60.0,1,8333.333333333334
7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
Green View Layout,2 BHK,1107.0,2.0,40.0,2,3613.369467028004
Maruthi Nagar,2 BHK,1158.0,2.0,75.0,2,6476.683937823835
Yelachenahalli,2 BHK,800.0,1.0,30.0,2,3750.0
Sector 2 HSR Layout,9 Bedroom,600.0,9.0,90.0,9,15000.0
Bhoganhalli,3 BHK,1760.0,3.0,128.0,3,7272.727272727273
Nandi Hills,4 Bedroom,3200.0,4.0,200.0,4,6250.0
HAL 2nd Stage,2 Bedroom,600.0,3.0,145.0,2,24166.666666666668
TC Palaya,3 Bedroom,1350.0,3.0,60.0,3,4444.444444444444
Giri Nagar,6 Bedroom,600.0,6.0,100.0,6,16666.666666666668
Huskur,2 BHK,1125.0,2.0,32.49,2,2888.0
Frazer Town,3 BHK,1706.0,3.0,154.0,3,9026.963657678782
BTM Layout,3 BHK,1600.0,3.0,112.0,3,7000.0
Ramesh Nagar,2 BHK,1200.0,2.0,90.0,2,7500.0
Whitefield,3 BHK,1755.0,3.0,101.0,3,5754.985754985755
Hulimavu,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
BEML Layout,2 BHK,1200.0,2.0,67.0,2,5583.333333333333
Chokkanahalli,2 BHK,1266.67,2.0,69.0,2,5447.3540859103
Kariyammana Agrahara,3 BHK,1800.0,3.0,90.0,3,5000.0
Sector 7 HSR Layout,3 Bedroom,1200.0,4.0,275.0,3,22916.666666666668
2nd Phase Judicial Layout,3 BHK,1300.0,3.0,64.0,3,4923.076923076923
Nirman Layout,3 Bedroom,800.0,3.0,60.0,3,7500.0
Whitefield,4 Bedroom,4800.0,5.0,550.0,4,11458.333333333334
Mysore Road,2 BHK,1029.5,2.0,50.855,2,4939.776590577951
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,40.0,2,3546.099290780142
NS Palya,2 Bedroom,2000.0,2.0,160.0,2,8000.0
Panathur,2 BHK,1210.0,2.0,80.0,2,6611.570247933884
Arekere,4 BHK,2710.0,6.0,142.0,4,5239.852398523985
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,39.0,2,3388.3579496090356
Rajaji Nagar,5 BHK,7500.0,8.0,1700.0,5,22666.666666666668
HOSUR MAIN ROAD,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Electronic City,2 BHK,1017.0,2.0,27.0,2,2654.8672566371683
Sarjapur  Road,2 BHK,920.0,2.0,40.0,2,4347.826086956522
HRBR Layout,4 Bedroom,1200.0,3.0,180.0,4,15000.0
Nyanappana Halli,5 Bedroom,1000.0,5.0,140.0,5,14000.0
Munnekollal,3 BHK,1750.0,3.0,86.5,3,4942.857142857143
Dasanapura,2 BHK,1163.0,2.0,65.0,2,5588.993981083405
7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
Kundalahalli Colony,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
CV Raman Nagar,2 BHK,1100.0,2.0,58.0,2,5272.727272727273
R.T. Nagar,2 BHK,1200.0,2.0,60.0,2,5000.0
Ganga Nagar,3 BHK,1410.0,3.0,65.0,3,4609.929078014185
Begur Road,3 BHK,1933.0,3.0,98.0,3,5069.839627521987
Begur Road,2 BHK,1200.0,2.0,45.6,2,3800.0
Whitefield,3 BHK,1608.0,2.0,63.0,3,3917.910447761194
Jakkasandra Extension,4 Bedroom,2679.0,5.0,280.0,4,10451.661067562523
Horamavu Banaswadi,2 BHK,1156.0,2.0,46.9,2,4057.093425605536
T.C PALYA,2 Bedroom,1230.0,2.0,75.0,2,6097.5609756097565
Kasavanhalli,1 BHK,770.0,1.0,43.82,1,5690.909090909091
Ardendale,3 BHK,1777.26,3.0,105.0,3,5907.970696465346
Kanakpura Road,2 BHK,1339.0,2.0,85.0,2,6348.020911127707
Sarjapur  Road,3 Bedroom,3044.0,3.0,183.0,3,6011.826544021025
Chennappa Layout,2 BHK,1080.0,2.0,44.8,2,4148.148148148148
Doddabommasandra,8 Bedroom,3150.0,5.0,145.0,8,4603.174603174603
Nagadevanahalli,2 Bedroom,2400.0,2.0,135.0,2,5625.0
Hulimavu,3 BHK,1450.0,3.0,72.0,3,4965.517241379311
Kothanur,2 BHK,1075.0,2.0,53.0,2,4930.232558139535
Sarjapur  Road,3 BHK,1163.0,2.0,62.0,3,5331.04041272571
TC Palaya,2 Bedroom,1200.0,2.0,65.0,2,5416.666666666667
Kattigenahalli,8 Bedroom,1200.0,8.0,135.0,8,11250.0
Marathahalli,4 Bedroom,3090.0,4.0,325.0,4,10517.79935275081
Hebbal,2 BHK,1299.0,2.0,100.0,2,7698.229407236336
Electronic City,2 BHK,1130.0,2.0,32.63,2,2887.610619469027
HRBR Layout,2 BHK,1170.0,2.0,75.0,2,6410.25641025641
Yelahanka,4 BHK,2600.0,4.0,175.0,4,6730.7692307692305
KR Puram,2 BHK,1140.0,2.0,43.32,2,3800.0
Kanakpura Road,3 BHK,1900.0,3.0,125.0,3,6578.9473684210525
Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2,2888.0733944954127
Electronic City,2 BHK,1110.0,2.0,39.95,2,3599.0990990990995
Nagavarapalya,1 BHK,705.0,1.0,57.0,1,8085.106382978724
HBR Layout,2 BHK,1089.0,2.0,60.0,2,5509.641873278237
tc.palya,2 Bedroom,880.0,2.0,48.0,2,5454.545454545455
Kereguddadahalli,2 BHK,1080.0,2.0,32.0,2,2962.962962962963
Thanisandra,2 BHK,1093.0,2.0,68.1,2,6230.558096980786
Banashankari Stage III,3 BHK,1480.0,3.0,75.48,3,5100.0
Hegde Nagar,3 BHK,1703.0,3.0,125.0,3,7339.988256018791
Hebbal,2 BHK,1200.0,2.0,60.0,2,5000.0
Marathahalli,3 BHK,1690.0,3.0,116.0,3,6863.905325443787
Yelahanka,2 BHK,1305.0,2.0,78.0,2,5977.0114942528735
Talaghattapura,3 BHK,1257.0,2.0,40.22,3,3199.6817820206843
Subash Nagar,2 BHK,1150.0,2.0,45.0,2,3913.0434782608695
Stage-4 Bommanahalli,2 BHK,1194.0,2.0,55.0,2,4606.365159128978
Chokkahalli,3 Bedroom,2000.0,3.0,90.0,3,4500.0
Anekal,3 Bedroom,1500.0,4.0,99.0,3,6600.0
Bellari Road,2 BHK,1025.0,2.0,42.5,2,4146.341463414634
Horamavu Agara,2 BHK,980.0,2.0,38.19,2,3896.938775510204
Hosakerehalli,3 Bedroom,1200.0,2.0,100.0,3,8333.333333333334
Whitefield,3 BHK,2225.0,3.0,149.0,3,6696.6292134831465
Ashirvad Colony,2 BHK,1022.0,2.0,57.0,2,5577.2994129158515
Sidedahalli,4 Bedroom,882.0,3.0,72.0,4,8163.265306122449
Narayanapura,2 BHK,1153.0,2.0,45.0,2,3902.8620988725065
Pai Layout,2 BHK,1175.0,2.0,60.0,2,5106.382978723404
Vidyaranyapura,3 BHK,1560.0,3.0,68.0,3,4358.974358974359
Yelahanka New Town,1 BHK,650.0,1.0,17.0,1,2615.3846153846152
Vishwapriya Nagar,3 Bedroom,600.0,3.0,65.0,3,10833.333333333334
Billekahalli,2 BHK,1350.0,3.0,55.0,2,4074.074074074074
Akshya Nagar,2 Bedroom,1200.0,2.0,76.0,2,6333.333333333333
Telecom Layout,2 BHK,1200.0,1.0,54.0,2,4500.0
Chandapura,2 BHK,800.0,2.0,25.0,2,3125.0
Electronic City,4 BHK,2093.0,4.0,104.0,4,4968.944099378882
Uttarahalli,3 BHK,1320.0,2.0,55.44,3,4200.0
Bannerghatta Road,2 BHK,1275.0,2.0,73.0,2,5725.490196078431
Begur Road,2 BHK,1215.0,2.0,43.13,2,3549.794238683128
Kanakapura,2 BHK,1130.0,2.0,45.2,2,4000.0
Begur Road,3 BHK,1444.0,2.0,71.5,3,4951.523545706371
Vikram Nagar,2 BHK,950.0,2.0,38.0,2,4000.0
Padmanabhanagar,2 BHK,1000.0,1.0,90.0,2,9000.0
Banashankari Stage II,3 BHK,1240.0,2.0,59.52,3,4800.0
2nd Stage Nagarbhavi,4 Bedroom,600.0,4.0,125.0,4,20833.333333333332
Hennur,2 BHK,1231.0,2.0,50.0,2,4061.7384240454917
Benson Town,2 BHK,1300.0,2.0,120.0,2,9230.76923076923
Yeshwanthpur,3 BHK,1713.0,3.0,110.0,3,6421.482778750729
Kogilu,2 BHK,1200.0,2.0,53.33,2,4444.166666666667
Sarjapur  Road,3 Bedroom,3004.0,4.0,158.0,3,5259.65379494008
Sonnenahalli,3 BHK,1310.0,2.0,46.0,3,3511.4503816793895
Jalahalli,2 BHK,790.0,2.0,49.5,2,6265.822784810127
Koramangala,3 BHK,1744.0,3.0,200.0,3,11467.88990825688
Amblipura,3 BHK,1605.0,3.0,100.0,3,6230.529595015576
Whitefield,2 BHK,1250.0,2.0,82.0,2,6560.0
Malleshwaram,3 BHK,2476.0,3.0,337.0,3,13610.662358642972
Subramanyapura,3 BHK,1260.0,2.0,76.0,3,6031.746031746032
Rajaji Nagar,3 BHK,1615.0,3.0,175.0,3,10835.913312693498
Yelahanka,2 BHK,1180.0,2.0,56.0,2,4745.762711864407
Uttarahalli,3 BHK,1255.0,2.0,50.19,3,3999.203187250996
Electronic City,2 BHK,1025.0,2.0,53.9,2,5258.536585365854
Sarjapur  Road,3 BHK,1877.0,4.0,150.0,3,7991.475759190197
Lakshminarayana Pura,3 BHK,1649.0,3.0,150.0,3,9096.422073984233
5th Block Hbr Layout,9 Bedroom,2600.0,12.0,675.0,9,25961.53846153846
Hennur,5 Bedroom,2500.0,5.0,125.0,5,5000.0
Doddakammanahalli,3 BHK,1542.0,3.0,98.0,3,6355.38261997406
Thigalarapalya,2 BHK,1418.0,2.0,105.0,2,7404.795486600846
Sarvabhouma Nagar,2 BHK,1012.0,2.0,42.0,2,4150.197628458498
Chandapura,2 Bedroom,1200.0,2.0,65.0,2,5416.666666666667
Sarjapur  Road,2 BHK,1115.0,2.0,43.0,2,3856.5022421524664
Green Glen Layout,3 BHK,1680.0,4.0,95.0,3,5654.761904761905
Old Madras Road,2 BHK,1171.0,2.0,72.0,2,6148.590947907771
Tumkur Road,2 BHK,1027.0,2.0,68.62,2,6681.596884128529
Shampura,3 BHK,1700.0,3.0,75.0,3,4411.764705882353
Kanakapura,2 BHK,1090.0,2.0,38.15,2,3500.0
Hennur Road,2 BHK,1232.0,2.0,74.0,2,6006.493506493506
Anekal,2 BHK,766.0,2.0,28.0,2,3655.3524804177546
Banashankari Stage III,5 Bedroom,1200.0,5.0,180.0,5,15000.0
Kanakpura Road,1 BHK,525.0,1.0,27.0,1,5142.857142857143
JP Nagar,3 BHK,1452.0,2.0,41.0,3,2823.6914600550963
Choodasandra,3 BHK,1254.0,2.0,65.0,3,5183.413078149921
MS Pallya,5 Bedroom,3600.0,5.0,110.0,5,3055.5555555555557
Kanakpura Road,3 BHK,1593.0,3.0,118.0,3,7407.407407407408
ITI Layout,2 BHK,1333.0,2.0,77.27,2,5796.699174793698
Herohalli,3 Bedroom,1100.0,3.0,110.0,3,10000.0
Raja Rajeshwari Nagar,3 BHK,1375.0,2.0,54.99,3,3999.2727272727275
Ardendale,3 BHK,1650.0,3.0,82.0,3,4969.69696969697
Thanisandra,3 BHK,1430.0,2.0,51.48,3,3600.0
Electronic City,2 BHK,940.0,2.0,54.0,2,5744.68085106383
Electronic City,1 BHK,435.0,1.0,21.0,1,4827.586206896552
Begur Road,2 BHK,1160.0,2.0,36.54,2,3150.0
Electronic City,3 BHK,1500.0,2.0,77.5,3,5166.666666666667
Koramangala,3 BHK,1890.0,2.0,100.0,3,5291.005291005291
Doopanahalli,2 BHK,1050.0,2.0,70.0,2,6666.666666666667
Singasandra,6 Bedroom,1200.0,6.0,220.0,6,18333.333333333332
Haralur Road,2 BHK,1027.0,2.0,43.0,2,4186.952288218111
Seegehalli,3 Bedroom,3000.0,4.0,235.0,3,7833.333333333333
Tumkur Road,3 BHK,1459.0,2.0,95.0,3,6511.3091158327625
Yelahanka,3 BHK,1711.0,3.0,85.61,3,5003.506721215664
Hoodi,2 BHK,1250.0,2.0,98.0,2,7840.0
Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
Anandapura,2 Bedroom,875.0,2.0,57.0,2,6514.285714285715
Ramamurthy Nagar,2 BHK,1334.0,2.0,67.0,2,5022.488755622189
Huskur,2 BHK,1140.0,2.0,32.92,2,2887.719298245614
Sarjapur  Road,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
Amruthahalli,3 Bedroom,1200.0,5.0,200.0,3,16666.666666666668
Rajaji Nagar,3 BHK,1776.0,3.0,190.0,3,10698.198198198199
Thigalarapalya,3 BHK,2072.0,4.0,160.0,3,7722.007722007722
Kundalahalli,3 Bedroom,1600.0,3.0,170.0,3,10625.0
Lakshmi Layout,6 Bedroom,1200.0,4.0,115.0,6,9583.333333333334
Kengeri Satellite Town,2 BHK,920.0,2.0,39.0,2,4239.130434782609
Chandapura,2 BHK,778.0,2.0,25.29,2,3250.642673521851
Nagasandra,4 Bedroom,1310.0,3.0,95.0,4,7251.908396946565
Electronic City,3 BHK,1631.0,3.0,80.0,3,4904.9662783568365
Kanakpura Road,1 BHK,525.0,1.0,27.5,1,5238.0952380952385
Jalahalli,3 BHK,1395.0,3.0,82.0,3,5878.136200716845
Devi Nagar,3 BHK,2000.0,3.0,105.0,3,5250.0
Hennur Road,2 BHK,1232.0,2.0,66.0,2,5357.142857142857
Virupakshapura,2 BHK,1075.0,2.0,55.0,2,5116.279069767442
Gubbalala,2 BHK,1205.0,2.0,70.0,2,5809.128630705394
Muthyala Nagar,4 Bedroom,1200.0,4.0,165.0,4,13750.0
Rajiv Nagar,4 BHK,2340.0,5.0,129.0,4,5512.820512820513
Rayasandra,3 BHK,1179.0,2.0,55.0,3,4664.970313825275
Kodigehaali,2 BHK,1013.0,2.0,51.0,2,5034.550839091807
Uttarahalli,2 BHK,1160.0,2.0,40.6,2,3500.0
7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
Nrupathunga Nagar,7 Bedroom,1200.0,5.0,80.0,7,6666.666666666667
Uttarahalli,3 BHK,1255.0,2.0,50.19,3,3999.203187250996
Richmond Town,3 BHK,1100.0,2.0,145.0,3,13181.818181818182
Samethanahalli,2 BHK,1069.0,2.0,55.0,2,5144.9953227315245
Kyalasanahalli,3 Bedroom,1200.0,3.0,99.0,3,8250.0
Kudlu Gate,1 BHK,1400.0,1.0,285.0,1,20357.14285714286
Marathahalli,2 BHK,1065.0,2.0,55.0,2,5164.319248826291
Lakshminarayana Pura,2 BHK,1395.0,2.0,75.0,2,5376.344086021505
Hebbal Kempapura,3 BHK,1725.0,2.0,165.0,3,9565.217391304348
Coconut Grove Layout,2 BHK,1007.0,2.0,43.0,2,4270.109235352532
Kengeri,3 BHK,1436.0,2.0,55.0,3,3830.08356545961
Amrita Nagar,6 BHK,4250.0,6.0,150.0,6,3529.4117647058824
Hebbal,3 BHK,1645.0,3.0,117.0,3,7112.462006079028
Kengeri,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
Mysore Road,2 BHK,940.0,2.0,43.61,2,4639.36170212766
KR Puram,6 Bedroom,4300.0,6.0,175.0,6,4069.767441860465
Hebbal,3 BHK,2850.0,5.0,343.0,3,12035.087719298246
Indira Nagar,3 BHK,1740.0,3.0,191.0,3,10977.011494252874
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Sadashiva Nagar,3 BHK,3761.0,3.0,650.0,3,17282.637596383942
Dodda Nekkundi,3 BHK,1829.0,3.0,125.0,3,6834.3357025697105
Whitefield,4 Bedroom,1800.0,4.0,178.0,4,9888.888888888889
Austin Town,2 BHK,1000.0,2.0,60.0,2,6000.0
Venkatapura,3 Bedroom,5720.0,3.0,350.0,3,6118.881118881119
Vignana Nagar,5 Bedroom,800.0,4.0,98.0,5,12250.0
Kadabagere,2 BHK,675.0,1.0,15.0,2,2222.222222222222
Hebbal,2 BHK,1390.0,2.0,95.0,2,6834.53237410072
Lakshminarayana Pura,3 BHK,1500.0,3.0,104.0,3,6933.333333333333
Vijayanagar,3 BHK,2047.0,3.0,136.0,3,6643.869076697606
Jakkur,2 BHK,1202.0,2.0,79.0,2,6572.379367720466
Kodbisanhalli,2 BHK,1012.0,2.0,59.0,2,5830.0395256917
Gunjur,3 BHK,2132.0,3.0,80.0,3,3752.34521575985
Raja Rajeshwari Nagar,4 Bedroom,1350.0,4.0,340.0,4,25185.185185185186
Whitefield,1 BHK,605.0,1.0,40.0,1,6611.570247933884
Harlur,2 BHK,1331.0,2.0,88.0,2,6611.570247933884
Margondanahalli,2 Bedroom,1200.0,2.0,69.0,2,5750.0
Kumara Park,2 BHK,1150.0,2.0,250.0,2,21739.130434782608
Sahakara Nagar,2 Bedroom,1200.0,2.0,136.0,2,11333.333333333334
Anand Nagar,2 Bedroom,1800.0,2.0,300.0,2,16666.666666666668
Kammanahalli,3 Bedroom,600.0,2.0,50.0,3,8333.333333333334
Akshaya Vana,3 BHK,1280.0,2.0,49.0,3,3828.125
Balagere,2 BHK,1007.0,2.0,62.0,2,6156.901688182721
Thanisandra,3 BHK,1370.0,2.0,61.0,3,4452.554744525547
Kalkere,2 BHK,925.0,2.0,35.0,2,3783.7837837837837
TC Palaya,2 BHK,1500.0,2.0,75.0,2,5000.0
Attibele,1 BHK,450.0,1.0,12.5,1,2777.777777777778
Peenya,4 Bedroom,1200.0,4.0,140.0,4,11666.666666666666
Hennur Road,2 BHK,1341.0,2.0,95.0,2,7084.265473527218
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
Tumkur Road,2 BHK,992.0,2.0,60.0,2,6048.387096774193
Uttarahalli,2 BHK,1163.0,2.0,68.0,2,5846.947549441101
Sarjapur  Road,2 BHK,1229.0,2.0,70.0,2,5695.6875508543535
Gowdanapalya,2 Bedroom,600.0,2.0,39.0,2,6500.0
Electronic City Phase II,2 BHK,1219.0,2.0,61.26,2,5025.430680885972
Raja Rajeshwari Nagar,3 BHK,1525.0,2.0,99.13,3,6500.327868852459
Kasavanhalli,2 BHK,1147.0,2.0,60.0,2,5231.037489102006
Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3,6232.294617563739
Munnekollal,9 Bedroom,1200.0,9.0,215.0,9,17916.666666666668
Sarjapur  Road,2 BHK,1044.0,2.0,34.77,2,3330.459770114943
Nagarbhavi,2 BHK,1190.0,2.0,63.0,2,5294.117647058823
Nagadevanahalli,3 BHK,1240.0,2.0,65.0,3,5241.935483870968
Jigani,3 BHK,1352.0,3.0,65.0,3,4807.692307692308
Ashwathnagar,2 BHK,1100.0,2.0,55.0,2,5000.0
Uttarahalli,3 BHK,1330.0,2.0,39.9,3,3000.0
RR Layout,3 BHK,1700.0,3.0,111.0,3,6529.411764705882
Electronic City,2 BHK,1355.0,2.0,67.0,2,4944.649446494465
Ramamurthy Nagar,2 BHK,1200.0,2.0,46.0,2,3833.3333333333335
Kengeri,1 BHK,400.0,2.0,25.0,1,6250.0
Sarjapur  Road,2 BHK,1342.0,2.0,70.0,2,5216.095380029807
Begur Road,3 BHK,1615.0,3.0,50.87,3,3149.84520123839
Vinayaka Nagar,2 BHK,1340.0,2.0,65.0,2,4850.746268656716
Jakkuru Layout,2 BHK,1200.0,2.0,54.0,2,4500.0
Yeshwanthpur,1 Bedroom,400.0,1.0,55.0,1,13750.0
Devanahalli,2 BHK,1080.0,2.0,52.0,2,4814.814814814815
Gollahalli,2 BHK,1600.0,2.0,31.0,2,1937.5
Electronic City,2 BHK,1200.0,2.0,34.0,2,2833.3333333333335
Hennur Road,3 Bedroom,2700.0,3.0,150.0,3,5555.555555555556
Billapura,3 Bedroom,1780.0,3.0,110.0,3,6179.775280898876
Amruthahalli,3 BHK,1605.0,3.0,65.0,3,4049.8442367601247
Ulsoor,4 BHK,7200.0,5.0,1584.0,4,22000.0
Doddabommasandra,3 Bedroom,646.0,2.0,65.0,3,10061.919504643964
Kammanahalli,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
Margondanahalli,2 Bedroom,900.0,2.0,49.0,2,5444.444444444444
Sarjapur,3 Bedroom,1830.0,3.0,88.0,3,4808.743169398907
Vishwapriya Layout,5 Bedroom,690.0,4.0,83.0,5,12028.985507246376
Srirampuram,1 BHK,650.0,1.0,500.0,1,76923.07692307692
MS Pallya,5 Bedroom,1800.0,4.0,68.0,5,3777.777777777778
Chandapura,3 BHK,715.0,2.0,32.0,3,4475.524475524476
Chandapura,3 BHK,1230.0,2.0,31.37,3,2550.4065040650407
Uttarahalli,2 BHK,1065.0,2.0,42.59,2,3999.06103286385
2nd Phase JP Nagar,8 Bedroom,1350.0,8.0,185.0,8,13703.703703703704
Srinagar,3 Bedroom,1080.0,3.0,149.0,3,13796.296296296296
KHB Colony Extension,3 BHK,900.0,2.0,65.0,3,7222.222222222223
Devasthanagalu,2 BHK,946.0,2.0,45.0,2,4756.871035940803
Laggere,1 BHK,1500.0,1.0,60.0,1,4000.0
Sarjapur  Road,3 BHK,1711.0,3.0,110.0,3,6428.988895382817
Attur Layout,4 Bedroom,1200.0,3.0,160.0,4,13333.333333333334
Chandapura,2 BHK,950.0,2.0,25.65,2,2700.0
Kudlu Gate,3 BHK,1656.0,3.0,80.0,3,4830.917874396136
Uttarahalli,2 BHK,1075.0,2.0,46.76,2,4349.767441860465
Harlur,3 BHK,1752.12,3.0,133.0,3,7590.80428281168
Hebbal,8 Bedroom,6000.0,8.0,220.0,8,3666.6666666666665
Kaverappa Layout,3 BHK,1540.0,3.0,85.0,3,5519.480519480519
6th Phase JP Nagar,4 Bedroom,600.0,4.0,125.0,4,20833.333333333332
LB Shastri Nagar,1 BHK,665.0,1.0,32.0,1,4812.0300751879695
Sector 2 HSR Layout,3 BHK,1665.0,3.0,110.0,3,6606.606606606607
Electronics City Phase 1,2 BHK,1145.0,2.0,54.0,2,4716.157205240174
Whitefield,2 BHK,1185.0,2.0,41.0,2,3459.915611814346
2nd Phase JP Nagar,3 Bedroom,1200.0,3.0,190.0,3,15833.333333333334
Marathahalli,3 BHK,1693.0,3.0,125.0,3,7383.343177790904
Dollars Layout,3 BHK,2456.0,3.0,220.0,3,8957.654723127036
Rajaji Nagar,3 BHK,2559.0,3.0,403.0,3,15748.339194998047
Uttarahalli,2 BHK,1155.0,2.0,40.6,2,3515.151515151515
Divya Unnathi Layout,3 BHK,1610.0,2.0,64.4,3,4000.0000000000005
Whitefield,3 Bedroom,1200.0,3.0,56.58,3,4715.0
Anjana Nagar,2 Bedroom,1530.0,2.0,185.0,2,12091.503267973856
EPIP Zone,3 BHK,1709.0,3.0,80.0,3,4681.100058513751
Amruthahalli,4 Bedroom,600.0,4.0,60.0,4,10000.0
Brookefield,8 Bedroom,2700.0,8.0,290.0,8,10740.74074074074
Subramanya Nagar,1 Bedroom,840.0,1.0,150.0,1,17857.14285714286
Gottigere,3 BHK,1400.0,2.0,50.0,3,3571.4285714285716
KR Puram,2 BHK,1200.0,2.0,42.0,2,3500.0
Janatha Colony,3 BHK,1439.0,3.0,57.23,3,3977.067407922168
Kasavanhalli,2 BHK,1375.0,2.0,72.0,2,5236.363636363636
BTM 2nd Stage,5 Bedroom,2990.0,5.0,416.0,5,13913.04347826087
Vijayanagar,3 BHK,1200.0,2.0,75.0,3,6250.0
Yelahanka,2 BHK,1315.0,2.0,75.0,2,5703.42205323194
Dommasandra,2 Bedroom,1500.0,2.0,40.0,2,2666.6666666666665
Yelahanka,6 Bedroom,3600.0,6.0,200.0,6,5555.555555555556
Vijayanagar,2 BHK,1178.0,2.0,82.0,2,6960.950764006791
Bannerghatta Road,3 BHK,1430.0,3.0,59.0,3,4125.874125874126
Mahadevpura,3 BHK,1400.0,2.0,65.8,3,4700.0
Thanisandra,2 BHK,1093.0,2.0,72.0,2,6587.374199451052
Horamavu Banaswadi,2 BHK,1200.0,2.0,45.0,2,3750.0
Magadi Road,5 Bedroom,5000.0,6.0,360.0,5,7200.0
1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
Whitefield,3 BHK,2210.0,3.0,156.0,3,7058.823529411765
Uttarahalli,2 BHK,1150.0,2.0,70.0,2,6086.95652173913
Silk Board,3 BHK,1435.0,2.0,60.0,3,4181.184668989547
Mathikere,4 Bedroom,600.0,3.0,100.0,4,16666.666666666668
Whitefield,2 BHK,1173.0,2.0,78.2,2,6666.666666666667
Thanisandra,2 BHK,1140.0,2.0,39.0,2,3421.0526315789475
Jakkur Plantation,3 BHK,1717.0,3.0,120.0,3,6988.934187536401
Mallasandra,2 BHK,1325.0,2.0,65.0,2,4905.66037735849
Hoodi,3 BHK,1370.0,3.0,67.0,3,4890.510948905109
Electronics City Phase 1,2 BHK,1025.0,2.0,90.0,2,8780.487804878048
Doddakammanahalli,3 BHK,1409.0,2.0,62.0,3,4400.28388928318
Bellandur,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Thanisandra,2 BHK,1200.0,2.0,53.5,2,4458.333333333333
Whitefield,3 BHK,1740.0,4.0,130.0,3,7471.264367816092
Hennur Road,2 BHK,1232.0,2.0,88.0,2,7142.857142857143
